"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","yes","ssp126","Mean temp Feb to April",2057,7.504061800432
"Bottom","yes","ssp126","Mean temp Feb to April",2058,8.1700181945197
"Bottom","yes","ssp126","Mean temp Feb to April",2059,8.16426015515397
"Bottom","yes","ssp126","Mean temp Feb to April",2060,7.50158693284788
"Bottom","yes","ssp126","Mean temp Feb to April",2061,8.32001222658538
"Bottom","yes","ssp126","Mean temp Feb to April",2062,7.92163188358668
"Bottom","yes","ssp126","Mean temp Feb to April",2063,7.55774160452162
"Bottom","yes","ssp126","Mean temp Feb to April",2064,7.3623554378703
"Bottom","yes","ssp126","Mean temp Feb to April",2065,7.31850261950776
"Bottom","yes","ssp126","Mean temp Feb to April",2066,8.03820549110699
"Bottom","yes","ssp126","Mean temp Feb to April",2067,8.31977001381543
"Bottom","yes","ssp126","Mean temp Feb to April",2068,7.8740585942726
"Bottom","yes","ssp126","Mean temp Feb to April",2069,7.60495616353635
"Bottom","yes","ssp126","Mean temp Feb to April",2070,7.73330872197168
"Bottom","yes","ssp126","Mean temp Feb to April",2071,6.98979301283331
"Bottom","yes","ssp126","Mean temp Feb to April",2072,8.07991640441603
"Bottom","yes","ssp126","Mean temp Feb to April",2073,7.58932498448364
"Bottom","yes","ssp126","Mean temp Feb to April",2074,8.54366575900306
"Bottom","yes","ssp126","Mean temp Feb to April",2075,8.25643553602708
"Bottom","yes","ssp126","Mean temp Feb to April",2076,6.78319791043929
"Bottom","yes","ssp126","Mean temp Feb to April",2077,7.17753391063241
"Bottom","yes","ssp126","Mean temp Feb to April",2078,7.97599759619594
"Bottom","yes","ssp126","Mean temp Feb to April",2079,7.29243221691886
"Bottom","yes","ssp126","Mean temp Feb to April",2080,8.01176632658836
"Bottom","yes","ssp126","Mean temp Feb to April",2081,7.77409055350954
"Bottom","yes","ssp126","Mean temp Feb to April",2082,8.62199700698683
"Bottom","yes","ssp126","Mean temp Feb to April",2083,8.49410801223333
"Bottom","yes","ssp126","Mean temp Feb to April",2084,7.18540097297645
"Bottom","yes","ssp126","Mean temp Feb to April",2085,6.50141736053583
"Bottom","yes","ssp126","Mean temp Feb to April",2086,7.55467525416055
"Bottom","yes","ssp126","Mean temp Feb to April",2087,7.78843806208946
"Bottom","yes","ssp126","Mean temp Feb to April",2088,8.03736671920815
"Bottom","yes","ssp126","Mean temp Feb to April",2089,7.93662366151549
"Bottom","yes","ssp126","Mean temp Feb to April",2090,8.03602623796102
"Bottom","yes","ssp126","Mean temp Feb to April",2091,7.34527995538914
"Bottom","yes","ssp126","Mean temp Feb to April",2092,7.77283321537215
"Bottom","yes","ssp126","Mean temp Feb to April",2093,8.43147587115397
"Bottom","yes","ssp126","Mean temp Feb to April",2094,8.03635489347587
"Bottom","yes","ssp126","Mean temp Feb to April",2095,7.46618980969719
"Bottom","yes","ssp126","Mean temp Feb to April",2096,7.82462609844952
"Bottom","yes","ssp126","Mean temp Feb to April",2097,8.59658623140588
"Bottom","yes","ssp126","Mean temp Feb to April",2098,8.42174996336714
"Bottom","yes","ssp126","Mean temp Feb to April",2099,8.15941278318075
"Bottom","no","ssp585","Mean temp Feb to April",1980,6.56225014192782
"Bottom","no","ssp585","Mean temp Feb to April",1981,6.47392015014643
"Bottom","no","ssp585","Mean temp Feb to April",1982,7.22106388398098
"Bottom","no","ssp585","Mean temp Feb to April",1983,7.14386919242465
"Bottom","no","ssp585","Mean temp Feb to April",1984,6.83078856557499
"Bottom","no","ssp585","Mean temp Feb to April",1985,6.24933497175383
"Bottom","no","ssp585","Mean temp Feb to April",1986,7.08274635570307
"Bottom","no","ssp585","Mean temp Feb to April",1987,6.78990737024073
"Bottom","no","ssp585","Mean temp Feb to April",1988,6.30741089159902
"Bottom","no","ssp585","Mean temp Feb to April",1989,6.64739432661883
"Bottom","no","ssp585","Mean temp Feb to April",1990,6.33056003018805
"Bottom","no","ssp585","Mean temp Feb to April",1991,6.69294179046774
"Bottom","no","ssp585","Mean temp Feb to April",1992,6.42964210009223
"Bottom","no","ssp585","Mean temp Feb to April",1993,5.81294291799952
"Bottom","no","ssp585","Mean temp Feb to April",1994,6.55123675056622
"Bottom","no","ssp585","Mean temp Feb to April",1995,6.04212137341638
"Bottom","no","ssp585","Mean temp Feb to April",1996,5.96328332087641
"Bottom","no","ssp585","Mean temp Feb to April",1997,5.95477380949676
"Bottom","no","ssp585","Mean temp Feb to April",1998,7.22470206984383
"Bottom","no","ssp585","Mean temp Feb to April",1999,6.62450705841181
"Bottom","no","ssp585","Mean temp Feb to April",2000,7.32338977963972
"Bottom","no","ssp585","Mean temp Feb to April",2001,6.97319800705078
"Bottom","no","ssp585","Mean temp Feb to April",2002,7.43153881638742
"Bottom","no","ssp585","Mean temp Feb to April",2003,6.89076478215637
"Bottom","no","ssp585","Mean temp Feb to April",2004,7.47839714086728
"Bottom","no","ssp585","Mean temp Feb to April",2005,6.89433670650499
"Bottom","no","ssp585","Mean temp Feb to April",2006,6.87161745490126
"Bottom","no","ssp585","Mean temp Feb to April",2007,6.37010350786384
"Bottom","no","ssp585","Mean temp Feb to April",2008,5.94345249423288
"Bottom","no","ssp585","Mean temp Feb to April",2009,6.97341695305762
"Bottom","no","ssp585","Mean temp Feb to April",2010,6.99779082999575
"Bottom","no","ssp585","Mean temp Feb to April",2011,7.23828016649497
"Bottom","no","ssp585","Mean temp Feb to April",2012,7.29753548473554
"Bottom","no","ssp585","Mean temp Feb to April",2013,7.12020587072303
"Bottom","no","ssp585","Mean temp Feb to April",2014,5.98988490848664
"Bottom","no","ssp585","Mean temp Feb to April",2015,6.06628975724287
"Bottom","no","ssp585","Mean temp Feb to April",2016,6.65558839396281
